label,text
0,CAA AAA AAD ADE DEE EEI EIG IGN GNQ NQP QPQ PQH QHF
0,CAI AIS ISD SDA DAG AGA GAG AGN GNQ NQP QPQ PQH QHF
0,CAI AIS ISE SEG EGA GAM AMG MGN GNQ NQP QPQ PQH QHF
0,CAI AIS ISE SES ESS SSI SIG IGN GNQ NQP QPQ PQH QHF
0,CAI AIS ISE SES ESS SSS SSG SGA GAN ANV NVL VLT LTF
0,CAS ASE SEA EAG AGT GTV TVN VNT NTN TNT NTQ TQY QYF
0,CAS ASI SID IDR DRT RTI TIG IGN GNQ NQP QPQ PQH QHF
0,CAS ASN SNP NPA PAG AGQ GQL QLE LET ETQ TQY QYF
0,CAS ASQ SQG QGG GGE GEI EIG IGN GNN NNE NEQ EQF
0,CAS ASR SRA RAG AGT GTS TSN SNT NTG TGE GEL ELF
0,CAS ASR SRG RGG GGT GTI TIN INT NTG TGE GEL ELF
0,CAS ASR SRP RPS PSG SGQ GQL QLD LDE DEQ EQF
0,CAS ASR SRP RPT PTG TGQ GQL QLE LET ETQ TQY QYF
0,CAS ASR SRS RSG SGT GTS TSN SNT NTG TGE GEL ELF
0,CAS ASR SRT RTG TGI GIS ISN SNT NTG TGE GEL ELF
0,CAS ASR SRT RTG TGT GTS TSN SNT NTG TGE GEL ELF
0,CAS ASR SRW RWT WTG TGQ GQL QLD LDE DEQ EQF
0,CAS ASS SSA SAG AGT GTI TIN INT NTG TGE GEL ELF
0,CAS ASS SSE SEA EAG AGQ GQL QLN LNE NEQ EQF
0,CAS ASS SSE SEV EVG VGQ GQL QLE LET ETQ TQY QYF
0,CAS ASS SSF SFS FSG SGQ GQL QLD LDT DTI TIY IYF
0,CAS ASS SSF SFT FTT TTM TMG MGN GNQ NQP QPQ PQH QHF
0,CAS ASS SSI SIR IRD RDA DAG AGN GNQ NQP QPQ PQH QHF
0,CAS ASS SSL SLL LLG LGQ GQL QLY LYE YEQ EQY QYF
0,CAS ASS SSL SLS LSG SGQ GQL QLD LDE DEQ EQF
0,CAS ASS SSL SLS LSG SGQ GQL QLD LDE DEQ EQY QYF
0,CAS ASS SSL SLS LSG SGQ GQL QLD LDT DTQ TQY QYF
0,CAS ASS SSL SLV LVG VGQ GQL QLD LDE DEQ EQY QYF
0,CAS ASS SSL SLV LVG VGQ GQL QLE LET ETQ TQY QYF
0,CAS ASS SSL SLV LVG VGQ GQL QLY LYE YEQ EQY QYF
0,CAS ASS SSP SPG PGD GDT DTG TGA GAN ANV NVL VLT LTF
0,CAS ASS SSP SPR PRE REI EIG IGN GNQ NQP QPQ PQH QHF
0,CAS ASS SSP SPS PSG SGQ GQL QLD LDE DEQ EQF
0,CAS ASS SSP SPS PSG SGQ GQL QLE LET ETQ TQY QYF
0,CAS ASS SSP SPT PTG TGQ GQL QLE LET ETQ TQY QYF
0,CAS ASS SSQ SQS QSG SGQ GQL QLD LDT DTQ TQY QYF
0,CAS ASS SSQ SQT QTG TGQ GQL QLD LDE DEQ EQY QYF
